"","ID","Pregunta 1
","Pregunta 2
","Pregunta 3","Pregunta 32","Pregunta 4","Pregunta 5","Pregunta 6","Pregunta 7","Pregunta 8","Pregunta 9","Pregunta 10","Pregunta 11","Pregunta 12","Barrio Comuna 1","Barrio Comuna 9","Pregunta 13
","Pregunta 14
","Pregunta 15
","Pregunta 16","Ingreso","Pregunta 17","Pregunta 18","Pregunta 19
","Pregunta 20
","Pregunta 21
","Pregunta 22
","Pregunta 23
","Pregunta 24
","Pregunta 25
","Pregunta 26
","Pregunta 27
","Pregunta 28","Pregunta 29
","Pregunta 30","Pregunta 32
","Pregunta 33
","Pregunta 34
","Pregunta 35
","Pregunta 36
","Pregunta 37
","Pregunta 38","Pregunta 39","Pregunta 40","Pregunta 41
","Alcohol","Cafeína","Pregunta 43
","Pregunta 44
","Pregunta 45
","Pregunta 46
","Pregunta 47
","Pregunta 48
","Horario","Escenarios o espacios deportivos","Pregunta 50
","Hongos","Metanfetamina","Implementos","Nicotina","Ayahuasca","Cocaína","Participación comunitaria","Marihuana","Esteroides","Heroína","Capacitación sobre deporte, recreación o salud","Pregunta 51","Popper","Ampliación de oferta","Opiodes","Formador o profesor","Extasis","LSD","Tussi","Otras","Pregunta 52","Pregunta 53","Pregunta 54","IMC"
"1",49,"Usuario","De 18 a 28",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Otra","Secundaria","Ama de casa / hombre de casa","1","4 o más","Medellín","1-Popular ",NA,NA,"2","6;8;12;","1;3;6;","SI",NA,"SI","Físico;Emocional;Social;","SI","Ambas","Dos veces","4;10;","10;","NO","Con compañeros de estudio o trabajo","9;",NA,NA,"2","3","SI","NO","SI","Antes;Durante;Después;","Agua;","NO","Con sobrepeso",76,155,"5","No consume","Mensual","SI","SI",NA,"4","4;",NA,"3","3","Buena","No consume","No consume","3","No consume","No consume","No consume","4","No consume","No consume","No consume","4","NO","No consume","4","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","SI","NO SÉ",31.63
"2",66,"Formador","De 29 a 59",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Pregrado","Empleado (a)","Ninguno (a)","3","Medellín","1-Popular ",NA,NA,"2","13;","8;","NO",NA,"SI","Físico;Emocional;Social;","SI","Ambas","Tres o más","3;4;","1;2;","SI","Solo","13;",NA,NA,"2","3","NO","NO","SI","Durante;","Agua;","NO","Normal",89,175,"8","Mensual","Diario","SI","SI",NA,"4","3;5;","1;","5","5","Excelente","No consume","No consume","3","No consume","No consume","No consume","4","No consume","No consume","No consume","4","SI","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","SI","SI",29.06
"3",72,"Usuario","De 29 a 59",NA,"Mujer","Otra","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Secundaria","Ama de casa / hombre de casa","2","4 o más","Medellín","1-Popular ",NA,NA,"2","13;","8;","NO",NA,"SI","Social;","SI","Ambas","Dos veces","8;","9;","NO","Con la familia","6;",NA,NA,"2","3","SI","SI","SI","Después;","Agua;","NO","Normal",60,160,"6","No consume","No consume","SI","SI",NA,"5","4;","3;","3","3","Excelente","No consume","No consume","4","No consume","No consume","No consume","4","No consume","No consume","No consume","3","NO","No consume","4","No consume","4","No consume","No consume","No consume","No consume","SI","SI","SI",23.44
"4",73,"Usuario","De 18 a 28",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Técnico","Empleado (a)","1","2","Medellín","1-Popular ",NA,NA,"1","13;","8;","NO",NA,"SI","Físico;","SI","Dirigida","Tres o más","3;","4;5;","SI","Con pareja/cónyuge/novio(a)","13;",NA,NA,"2","4 o más","SI","NO","SI","Durante;","Agua;","NO","Normal",80.5,174,"8","Mensual","Diario","SI","NO","No conozco la oferta","10","8;",NA,"1","1","Por mejorar","No consume","No consume","1","No consume","No consume","No consume","1","No consume","No consume","No consume","1","NO","No consume","1","No consume","1","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",26.59
"5",75,"Formador","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Casado(a) ","Mestizo","Técnico","Otra","3","4 o más","Medellín","1-Popular ",NA,NA,"2","13;","8;","NO",NA,"SI","Emocional;","SI","Por cuenta propia","Dos veces","6;7;9;","1;6;","NO","Con amigos","3;9;",NA,NA,"7","3","SI","SI","SI","Durante;","Agua;","NO","Con sobrepeso",98,168,"5","Mensual","No consume","SI","SI",NA,"6","4;7;","4;","5","4","Buena","No consume","No consume","3","No consume","No consume","No consume","5","No consume","No consume","No consume","3","SI","No consume","4","No consume","3","No consume","No consume","No consume","No consume","SI","SI","SI",34.72
"6",76,"Formador","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Secundaria","Empleado (a)","2","4 o más","Medellín","1-Popular ",NA,NA,"2","13;","8;","NO",NA,"SI","Emocional;Físico;Social;","SI","Ambas","Dos veces","4;","4;","NO","Con la familia","9;",NA,NA,"2","3","NO","NO","SI","Durante;Antes;","Agua;Bebidas hidratantes;","NO","Normal",59,157,"8","No consume","No consume","SI","SI",NA,"5","4;","4;","5","5","Excelente","No consume","No consume","5","No consume","No consume","No consume","5","No consume","No consume","No consume","5","SI","No consume","5","No consume","5","No consume","No consume","No consume","No consume","SI","SI","SI",23.94
"7",81,"Usuario","De 29 a 59",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Ninguna","Técnico","Empleado (a)","Ninguno (a)","2","Medellín","1-Popular ",NA,NA,"1","2;3;","8;","NO",NA,"No es usuario del INDER Medellín",NA,"SI","Por cuenta propia","Dos veces","4;7;","2;","NO","Solo","14;",NA,NA,"2","4 o más","NO","NO","SI","Durante;","Agua;","NO","Con sobrepeso",100,170,"5","No consume","Diario","SI","NO","Tengo otras opciones para ello","3","8;","3;","3","2","Buena","No consume","No consume","2","No consume","No consume","No consume","2","No consume","No consume","No consume","2","SI","No consume","2","No consume","4","No consume","No consume","No consume","No consume","SI","SI","NO",34.6
"8",85,"Usuario","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Casado(a) ","Mestizo","Secundaria","Ama de casa / hombre de casa","2","3","Medellín","1-Popular ",NA,NA,"3","5;","8;","NO",NA,"SI","Emocional;Físico;Social;","SI","Dirigida","Tres o más","4;","1;10;","SI","Solo","3;",NA,NA,"8","4 o más","SI","SI","NO","Después;","Otras;","NO","Normal",60,155,"5","No consume","Diario","SI","SI",NA,"4","4;5;","1;5;","4","4","Buena","No consume","No consume","4","No consume","No consume","No consume","4","No consume","No consume","No consume","3","NO","No consume","3","No consume","5","No consume","No consume","No consume","No consume","NO SÉ","NO","NO SÉ",24.97
"9",87,"Usuario","De 29 a 59",NA,"Mujer","Heterosexual (Atracción hacia el sexo opuesto)","Soltero(a) (viudo(a), divorciado(a), unión libre, unión marital de hecho)","Mestizo","Pregrado","Empleado (a)","2","3","Medellín","1-Popular ",NA,NA,"1","13;","8;","NO",NA,"SI","Emocional;Físico;Social;","NO",NA,NA,NA,NA,NA,NA,NA,"6;",NA,"2","3","SI","SI","SI","Antes;Durante;Después;","Agua;Gaseosas;","NO","Con sobrepeso",72,160,"5","No consume","Diario","SI","SI",NA,"4","5;8;","1;3;5;","3","3","Buena","No consume","No consume","3","No consume","No consume","No consume","4","No consume","No consume","No consume","2","SI","No consume","3","No consume","3","No consume","No consume","No consume","No consume","NO SÉ","SI","SI",28.12
"10",104,"Usuario","De 29 a 59",NA,"Hombre","Heterosexual (Atracción hacia el sexo opuesto)","Casado(a) ","Otra","Secundaria","Pensionado (a)/Jubilado (a)","1","2","Medellín","1-Popular ",NA,NA,"2","13;","8;","SI",NA,"No es usuario del INDER Medellín",NA,"NO",NA,NA,NA,NA,NA,NA,NA,"9;",NA,"8","3","NO","NO","NO","Durante;","Agua;","NO","Normal",74,172,"6","No consume","No consume","SI","NO","Incompatibilidad horaria","3","4;7;8;","3;4;5;","4","2","Por mejorar","No consume","No consume","3","No consume","No consume","No consume","4","No consume","No consume","No consume","2","NO","No consume","3","No consume","4","No consume","No consume","No consume","No consume","NO SÉ","NO","SI",25.01
